Title,Year,Authors,GatesAuthors
Cats and Captions vs. Creators and the Clock - Comparing Multimodal Content to Context in Predicting Relative Popularity.,2017,"Jack Hessel, Lillian Lee, David M. Mimno, ","David Mimno, Lillian Lee"
Cayuga - A General Purpose Event Monitoring System.,2007,"Alan J. Demers, Johannes Gehrke, Biswanath Panda, Mirek Riedewald, Varun Sharma, Walker M. White, ","Alan Demers, Walker White"
Cayuga - a high-performance event processing engine.,2007,"Lars Brenna, Alan J. Demers, Johannes Gehrke, Mingsheng Hong, Joel Ossher, Biswanath Panda, Mirek Riedewald, Mohit Thatte, Walker M. White, ","Alan Demers, Walker White"
Certified In-lined Reference Monitoring on .NET.,2006,"Kevin W. Hamlen, Greg Morrisett, Fred B. Schneider, ","Fred Schneider, Greg Morrisett"
Chain Replication for Supporting High Throughput and Availability.,2004,"Robbert van Renesse, Fred B. Schneider, ","Fred Schneider, Robbert van Renesse"
Chameleons in imagined conversations - A new approach to understanding coordination of linguistic style in dialogs,2011,"Cristian Danescu-Niculescu-Mizil, Lillian Lee, ","Cristian Danescu-Niculescu-Mizil, Lillian Lee"
"Characterizing and curating conversation threads - Expansion, focus, volume, re-entry",2013,"Lars Backstrom, Jon M. Kleinberg, Lillian Lee, Cristian Danescu-Niculescu-Mizil, ","Cristian Danescu-Niculescu-Mizil, Jon Kleinberg, Lillian Lee"
Characterizing Load Imbalance in Real-World Networked Caches.,2014,"Qi Huang, Helga Gudmundsdottir, Ymir Vigfusson, Daniel A. Freedman, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Civitas - A Secure Remote Voting System.,2007,"Michael E. Clarkson, Stephen Chong, Andrew C. Myers, ","Andrew Myers, Michael Clarkson"
Civitas - Toward a Secure Voting System.,2008,"Michael R. Clarkson, Stephen Chong, Andrew C. Myers, ","Andrew Myers, Michael Clarkson"
COCA - A secure distributed online certification authority.,2002,"Lidong Zhou, Fred B. Schneider, Robbert van Renesse, ","Fred Schneider, Robbert van Renesse"
Cognitive Adaptive Radio Teams.,2006,"Richard Lau, Stephanie Demers, Yibei Ling, Bruce Siegell, Einar Vollset, Ken Birman, Robbert van Renesse, Howard E. Shrobe, Jonathan Bachrach, Lester Foster, ","Ken Birman, Robbert van Renesse"
Cognitive rhythms - unobtrusive and continuous sensing of alertness using a mobile phone.,2016,"Saeed Abdullah, Elizabeth L. Murnane, Mark Matthews, Matthew Kay, Julie A. Kientz, Geri Gay, Tanzeem Choudhury, ","Geri Gay, Tanzeem Choudhury"
